LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7881,7881,70,181,440.9779006,258.0773481,0,154,154,7.590394548,1,,255,255,255,255,46155,0,1,Infinity,0.29531373,-0.145514249,8.886676957,6.800966527,2.025091862,1.306678532,181,64,0.555301045,0.911838791,4.757082536
ID7884,7884,70,271,437.7896679,270.6236162,0,156,156,9.287732724,1,,255,255,255,255,69105,0,1,Infinity,0.001498737,0.158685494,10.79461077,8.054143581,1.577437995,1.340255567,271,78,0.559744648,0.936096718,4.738162566
ID7770,7770,70,710,619.4957746,208.7901408,0,142,142,15.03329702,1,,255,255,255,255,181050,0,0.74304419,Infinity,-0.183063682,-0.090247479,17.5740572,12.76581573,0.028472484,1.376649763,710,138,0.46850048,0.909673286,5.179047713
ID8154,8154,70,378,383.6031746,302.2962963,0,198,198,10.96909919,1,,255,255,255,255,96390,0,1,Infinity,-0.047536235,-0.290198004,16.56044047,7.874026659,0.675087686,2.103173025,378,116,0.353008925,0.835359116,5.966396199
ID8027,8027,70,12,346.5833333,282.25,0,172,172,1.954410048,1,,255,255,255,255,3060,0,1,Infinity,-0.083643861,-0.039940845,2.380796057,1.763350309,1.333805618,1.350154898,12,18,0.465421134,0.774193548,5.196152423
ID7775,7775,70,448,586.0089286,211.0602679,0,143,143,11.94164264,1,,255,255,255,255,114240,0,0.998513011,Infinity,-0.184323742,-0.22537643,15.7244011,9.277938134,-0.15898531,1.694816335,448,102,0.54111246,0.932362123,4.819047031
ID8033,8033,70,94,332.6489362,280.8510638,0,173,173,5.47002096,1,,255,255,255,255,23970,0,1,Infinity,-0.147083684,0.127565997,5.828274881,5.576891787,2.924303916,1.045075842,94,44,0.610144028,0.899521531,4.538253484
ID8161,8161,70,154,362.2662338,288.0519481,0,196,196,7.001408606,1,,255,255,255,255,39270,0,1,Infinity,-0.103042426,-0.030248659,7.466603952,6.750842655,0.656579971,1.106025475,154,58,0.575273803,0.916666667,4.673773191
ID8175,8175,70,286,402.527972,314.0804196,0,199,199,9.541311621,1,,255,255,255,255,72930,0,0.995348837,Infinity,-0.064790586,-0.18864004,11.54883151,7.889993535,0.543612931,1.463731428,286,82,0.534500594,0.925566343,4.848761647
ID7920,7920,70,183,443.3387978,253.7103825,0,153,153,7.63221522,1,,255,255,255,255,46665,0,1,Infinity,-0.016187136,-0.05921267,8.246749898,7.059133028,2.685796601,1.168238347,183,64,0.561436968,0.915,4.731016134
ID7922,7922,70,260,436.0846154,281.5423077,0,158,158,9.097283683,1,,254.0192308,255,0,255,66045,15.81442866,1,16.06249813,0.089354126,0.300398873,12.62185763,6.480395191,1.690001596,1.947698753,260,84,0.463046536,0.876897133,5.209458853
ID7926,7926,70,71,433.8873239,291.1549296,0,159,159,4.753945931,1,,255,255,255,255,18105,0,1,Infinity,0.147830569,0.069263055,5.009679965,4.69348228,0.61824788,1.067369528,71,46,0.421650432,0.850299401,5.459195628
ID7928,7928,70,22,429.2272727,298.2727273,0,160,160,2.646283714,1,,255,255,255,255,5610,0,1.030769231,Infinity,0.012112308,0.231631172,3.513062843,2.283016185,1.132683615,1.538781401,22,30,0.307177948,0.676923077,6.396021491
ID8184,8184,70,298,423.2986577,325.7449664,0,200,200,9.739422266,1,,255,255,255,255,75990,0,1,Infinity,0.094275021,-0.174209582,11.35726209,8.444627193,0.631507814,1.344909827,298,82,0.556927193,0.932707355,4.75013246
ID8058,8058,70,107,263.6915888,283.1401869,0,180,180,5.836022432,1,,255,255,255,255,27285,0,1,Infinity,0.05912238,0.090211867,6.160213731,5.579279399,2.999332042,1.104123542,107,50,0.537840662,0.89539749,4.833682445
ID7931,7931,70,221,439.1312217,263.7149321,0,155,155,8.387281136,1,,255,255,255,255,56355,0,0.996987952,Infinity,0.104265911,-0.142010752,9.625635998,7.644278366,1.892046263,1.259194856,221,76,0.480811618,0.896551724,5.112313234
ID8063,8063,70,8,261.5,287,0,181,181,1.595769122,1,,255,255,255,255,2040,0,1,Infinity,0,0,2.368789741,1.298514791,-0.356385045,1.824230081,8,14,0.512913086,0.8,4.949747468
ID8192,8192,72,431,448.1183295,168.7540603,0,197,197,11.71288013,1,,255,255,255,255,109905,0,1,Infinity,-0.516932915,0.280962626,14.00367829,9.983577657,3.06874855,1.402671344,431,108,0.46434377,0.862,5.202176949
